-- этот файл читается customs/marking.py; строки, начинающиеся с --, игнорируются
-- Товарные группы обязательной маркировки «Честный знак».
-- Перечни утверждаются постановлениями Правительства РФ и меняются несколько раз в год,
-- поэтому таблица заведомо ориентировочная: бот говорит «вероятно, проверьте», а не «нужна».
-- Правится вручную, без изменения кода. Формат: префикс кода ТН ВЭД, группа, дата старта.
prefix,category,since
2402,Табачная продукция,2019-03-01
2403,Табачная продукция,2019-07-01
2404,Никотинсодержащая продукция,2020-07-01
3303,Духи и туалетная вода,2020-10-01
6401,Обувь,2020-07-01
6402,Обувь,2020-07-01
6403,Обувь,2020-07-01
6404,Обувь,2020-07-01
6405,Обувь,2020-07-01
4303,Изделия из натурального меха,2016-08-12
4011,Шины и покрышки,2020-11-01
9006,Фотоаппараты и лампы-вспышки,2020-10-01
0401,Молочная продукция,2021-06-01
0402,Молочная продукция,2021-06-01
0403,Молочная продукция,2021-06-01
0404,Молочная продукция,2021-06-01
0405,Молочная продукция,2021-06-01
0406,Молочная продукция,2021-06-01
2201,Упакованная вода,2021-12-01
2202,Безалкогольные напитки,2024-03-01
2009,Соки и безалкогольные напитки,2024-03-01
2203,Пиво и слабоалкогольные напитки,2024-04-01
2206,Пиво и слабоалкогольные напитки,2024-04-01
2309,Корма для животных,2025-03-01
1604,Консервы и икра,2024-05-01
1602,Мясные консервы,2025-03-01
1603,Консервы,2025-03-01
1605,Консервы из морепродуктов,2025-03-01
2001,Овощные консервы,2025-03-01
2002,Овощные консервы,2025-03-01
2003,Овощные консервы,2025-03-01
2004,Овощные консервы,2025-03-01
2005,Овощные консервы,2025-03-01
1507,Растительные масла,2024-10-01
1508,Растительные масла,2024-10-01
1509,Растительные масла,2024-10-01
1510,Растительные масла,2024-10-01
1511,Растительные масла,2024-10-01
1512,Растительные масла,2024-10-01
1513,Растительные масла,2024-10-01
1514,Растительные масла,2024-10-01
1515,Растительные масла,2024-10-01
1516,Растительные масла,2024-10-01
1517,Растительные масла,2024-10-01
1518,Растительные масла,2024-10-01
3003,Лекарственные препараты,2020-07-01
3004,Лекарственные препараты,2020-07-01
3005,Медицинские изделия,2024-03-01
4015,Медицинские перчатки,2023-10-01
9018,Медицинские изделия,2023-10-01
9021,Медицинские изделия и ТСР,2023-10-01
8713,Кресла-коляски,2023-09-01
3808,Антисептики и дезинфицирующие средства,2025-03-01
3304,Косметика и товары личной гигиены,2025-03-01
3305,Косметика и товары личной гигиены,2025-03-01
3306,Косметика и товары личной гигиены,2025-03-01
3307,Косметика и товары личной гигиены,2025-03-01
3401,Бытовая химия и гигиена,2025-03-01
3402,Бытовая химия,2025-03-01
3404,Бытовая химия,2025-03-01
3405,Бытовая химия,2025-03-01
4818,Товары личной гигиены,2025-03-01
9619,Товары личной гигиены,2025-03-01
8212,Бритвы и лезвия,2025-03-01
9503,Детские игрушки,2025-09-01
9504,Детские игрушки,2025-09-01
8712,Велосипеды,2024-09-01
8714,Части велосипедов,2024-09-01
2710,Моторные масла,2025-09-01
3403,Смазочные материалы,2025-09-01
3819,Тормозные жидкости,2025-09-01
3820,Антифризы,2025-09-01
1704,Кондитерские изделия,2025-12-01
1806,Кондитерские изделия,2025-12-01
1905,Кондитерские и хлебобулочные изделия,2025-12-01
2106,Пищевые продукты и БАД,2023-09-01
0901,Кофе,2026-06-01
0902,Чай,2026-06-01
0903,Матэ,2026-06-01
1801,Какао-бобы,2026-06-01
1805,Какао-порошок,2026-06-01
2101,Экстракты кофе и чая,2026-06-01
1902,Макаронные изделия,2026-09-01
1904,Крупы и готовые завтраки,2026-09-01
0409,Мёд,2026-09-01
0904,Пряности,2026-09-01
0905,Пряности,2026-09-01
0906,Пряности,2026-09-01
0907,Пряности,2026-09-01
0908,Пряности,2026-09-01
0909,Пряности,2026-09-01
0910,Пряности,2026-09-01
